"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"53845","생활서비스시설_공원_1708","ZON216","생활서비스시설_공원"," "," ","근린공원(목련)"," ","",""
"53846","생활서비스시설_공원_1709","ZON216","생활서비스시설_공원"," "," ","어린이공원(희망)"," ","",""
"53847","생활서비스시설_공원_1711","ZON216","생활서비스시설_공원"," "," ","근린공원(숯내)"," ","",""
"53848","생활서비스시설_공원_1712","ZON216","생활서비스시설_공원"," "," ","근린공원(태양)"," ","",""
"53849","생활서비스시설_공원_1713","ZON216","생활서비스시설_공원"," "," ","어린이공원(아랑)"," ","",""
"53850","생활서비스시설_공원_1718","ZON216","생활서비스시설_공원"," "," ","어린이공원(개미)"," ","",""
"53851","생활서비스시설_공원_1719","ZON216","생활서비스시설_공원"," "," ","어린이공원(샛별)"," ","",""
"53852","생활서비스시설_공원_1720","ZON216","생활서비스시설_공원"," "," ","근린공원(새내)"," ","",""
"53853","생활서비스시설_공원_1721","ZON216","생활서비스시설_공원"," "," ","어린이공원(비석거리)"," ","",""
"53854","생활서비스시설_공원_1722","ZON216","생활서비스시설_공원"," "," ","어린이공원(배밭)"," ","",""
"53855","생활서비스시설_공원_1723","ZON216","생활서비스시설_공원"," "," ","근린공원(오금<시공원>)"," ","",""
"53856","생활서비스시설_공원_1724","ZON216","생활서비스시설_공원"," "," ","어린이공원(솔밭)"," ","",""
"53857","생활서비스시설_공원_1726","ZON216","생활서비스시설_공원"," "," ","근린공원(장지<시공원>)"," ","",""
"53858","생활서비스시설_공원_1727","ZON216","생활서비스시설_공원"," "," ","마을마당(풍납)"," ","",""
"53859","생활서비스시설_공원_1728","ZON216","생활서비스시설_공원"," "," ","어린이공원(한샘)"," ","",""
"53860","생활서비스시설_공원_1729","ZON216","생활서비스시설_공원"," "," ","어린이공원(큰바위)"," ","",""
"53861","생활서비스시설_공원_1731","ZON216","생활서비스시설_공원"," "," ","어린이공원(가락골)"," ","",""
"53862","생활서비스시설_공원_1732","ZON216","생활서비스시설_공원"," "," ","어린이공원(봉우리)"," ","",""
"53863","생활서비스시설_공원_1733","ZON216","생활서비스시설_공원"," "," ","근린공원(신천교통)"," ","",""
"53864","생활서비스시설_공원_1735","ZON216","생활서비스시설_공원"," "," ","어린이공원(영풍)"," ","",""
"53865","생활서비스시설_공원_1736","ZON216","생활서비스시설_공원"," "," ","근린공원(건너말)"," ","",""
"53866","생활서비스시설_공원_1737","ZON216","생활서비스시설_공원"," "," ","어린이공원(뽕밭)"," ","",""
"53867","생활서비스시설_공원_1739","ZON216","생활서비스시설_공원"," "," ","근린공원(훼밀리)"," ","",""
"53868","생활서비스시설_공원_1740","ZON216","생활서비스시설_공원"," "," ","어린이공원(복숭아)"," ","",""
"53869","생활서비스시설_공원_1749","ZON216","생활서비스시설_공원"," "," ","어린이공원(잔버들)"," ","",""
"53870","생활서비스시설_공원_1357","ZON216","생활서비스시설_공원"," "," ","근린공원(상도<시공원>)"," ","",""
"53871","생활서비스시설_공원_1360","ZON216","생활서비스시설_공원"," "," ","어린이공원(참새)"," ","",""
"53872","생활서비스시설_공원_1362","ZON216","생활서비스시설_공원"," "," ","어린이공원(햇님)"," ","",""
"53873","생활서비스시설_공원_1366","ZON216","생활서비스시설_공원"," "," ","어린이공원(양산)"," ","",""
"53874","생활서비스시설_공원_1371","ZON216","생활서비스시설_공원"," "," ","마을마당(신림5동)"," ","",""
"53875","생활서비스시설_공원_1374","ZON216","생활서비스시설_공원"," "," ","어린이공원(목화)"," ","",""
"53876","생활서비스시설_공원_1378","ZON216","생활서비스시설_공원"," "," ","어린이공원(신봉)"," ","",""
"53877","생활서비스시설_공원_1381","ZON216","생활서비스시설_공원"," "," ","어린이공원(남강)"," ","",""
"53878","생활서비스시설_공원_1384","ZON216","생활서비스시설_공원"," "," ","어린이공원(청룡)"," ","",""
"53879","생활서비스시설_공원_1388","ZON216","생활서비스시설_공원"," "," ","어린이공원(까치)"," ","",""
"53880","생활서비스시설_공원_1405","ZON216","생활서비스시설_공원"," "," ","마을마당(봉천3동)"," ","",""
"53881","생활서비스시설_공원_1406","ZON216","생활서비스시설_공원"," "," ","어린이공원(해바라기)"," ","",""
"53882","생활서비스시설_공원_1408","ZON216","생활서비스시설_공원"," "," ","어린이공원(난곡)"," ","",""
